category_1,category_2,category_3,category_4,notes,category_id
,,,Airfield Operations Specialists,,532022
,,Flight Attendants,,,532030
,,,Flight Attendants,,532031
,Motor Vehicle Operators,,,,533000
,,Ambulance Drivers and Attendants Except Emergency Medical Technicians,,,533010
,,,Ambulance Drivers and Attendants Except Emergency Medical Technicians,,533011
,,Bus Drivers,,,533020
,,,Bus Drivers Transit and Intercity ,,533021
,,,Bus Drivers School or Special Client ,,533022
,,Driver Sales Workers and Truck Drivers,,,533030
,,,Driver Sales Workers,,533031
,,,Heavy and TractorTrailer Truck Drivers,,533032
,,,Light Truck or Delivery Services Drivers,,533033
,,Taxi Drivers and Chauffeurs,,,533040
,,,Taxi Drivers and Chauffeurs,,533041
,,Miscellaneous Motor Vehicle Operators,,,533090
,,,Motor Vehicle Operators All Other,,533099
,Rail Transportation Workers,,,,534000
,,Locomotive Engineers and Operators,,,534010
,,,Locomotive Engineers,,534011
,,,Locomotive Firers,,534012
,,,Rail Yard Engineers Dinkey Operators and Hostlers,,534013
,,Railroad Brake Signal and Switch Operators,,,534020
,,,Railroad Brake Signal and Switch Operators,,534021
,,Railroad Conductors and Yardmasters,,,534030
,,,Railroad Conductors and Yardmasters,,534031
,,Subway and Streetcar Operators,,,534040
,,,Subway and Streetcar Operators,,534041
,,Miscellaneous Rail Transportation Workers,,,534090
,,,Rail Transportation Workers All Other,,534099
,Water Transportation Workers,,,,535000
,,Sailors and Marine Oilers,,,535010
,,,Sailors and Marine Oilers,,535011
,,Ship and Boat Captains and Operators,,,535020
,,,Captains Mates and Pilots of Water Vessels,,535021
,,,Motorboat Operators,,535022
,,Ship Engineers,,,535030
,,,Ship Engineers,,535031
,Other Transportation Workers,,,,536000
,,Bridge and Lock Tenders,,,536010
,,,Bridge and Lock Tenders,,536011
,,Parking Lot Attendants,,,536020
,,,Parking Lot Attendants,,536021
,,Automotive and Watercraft Service Attendants,,,536030
,,,Automotive and Watercraft Service Attendants,,536031
,,Traffic Technicians,,,536040
,,,Traffic Technicians,,536041
,,Transportation Inspectors,,,536050
,,,Transportation Inspectors,,536051
,,Transportation Attendants Except Flight Attendants,,,536060
,,,Transportation Attendants Except Flight Attendants ,,536061
,,Miscellaneous Transportation Workers,,,536090
,,,Transportation Workers All Other,,536099
,Material Moving Workers,,,,537000
,,Conveyor Operators and Tenders,,,537010
,,,Conveyor Operators and Tenders,,537011
,,Crane and Tower Operators,,,537020
,,,Crane and Tower Operators,,537021
,,Dredge Excavating and Loading Machine Operators,,,537030
,,,Dredge Operators,,537031
,,,Excavating and Loading Machine and Dragline Operators,,537032
,,,Loading Machine Operators Underground Mining,,537033
,,Hoist and Winch Operators,,,537040
,,,Hoist and Winch Operators,,537041
,,Industrial Truck and Tractor Operators,,,537050
,,,Industrial Truck and Tractor Operators,,537051
,,Laborers and Material Movers Hand,,,537060
,,,Cleaners of Vehicles and Equipment,,537061
,,,Laborers and Freight Stock and Material Movers Hand,,537062
,,,Machine Feeders and Offbearers,,537063
,,,Packers and Packagers Hand,,537064
,,Pumping Station Operators,,,537070
,,,Gas Compressor and Gas Pumping Station Operators,,537071
,,,Pump Operators Except Wellhead Pumpers,,537072
,,,Wellhead Pumpers,,537073
,,Refuse and Recyclable Material Collectors,,,537080
,,,Refuse and Recyclable Material Collectors,,537081
,,Mine Shuttle Car Operators,,,537110
,,,Mine Shuttle Car Operators,,537111
,,Tank Car Truck and Ship Loaders,,,537120
,,,Tank Car Truck and Ship Loaders,,537121
,,Miscellaneous Material Moving Workers,,,537190
,,,Material Moving Workers All Other,,537199
Military Specific Occupations,,,,,550000
,Military Officer Special and Tactical Operations Leaders,,,,551000
,,Military Officer Special and Tactical Operations Leaders,,,551010
,,,Air Crew Officers,,551011
,,,Aircraft Launch and Recovery Officers,,551012
,,,Armored Assault Vehicle Officers,,551013
,,,Artillery and Missile Officers,,551014
,,,Command and Control Center Officers,,551015
,,,Infantry Officers,,551016
,,,Special Forces Officers,,551017
,,,Military Officer Special and Tactical Operations Leaders All Other,,551019
,FirstLine Enlisted Military Supervisors,,,,552000
,,FirstLine Enlisted Military Supervisors,,,552010
,,,FirstLine Supervisors of Air Crew Members,,552011
,,,FirstLine Supervisors of Weapons Specialists Crew Members,,552012
,,,FirstLine Supervisors of All Other Tactical Operations Specialists,,552013
,Military Enlisted Tactical Operations and Air Weapons Specialists and Crew Members,,,,553000
,,Military Enlisted Tactical Operations and Air Weapons Specialists and Crew Members,,,553010
,,,Air Crew Members,,553011
,,,Aircraft Launch and Recovery Specialists,,553012
,,,Armored Assault Vehicle Crew Members,,553013
,,,Artillery and Missile Crew Members,,553014
,,,Command and Control Center Specialists,,553015
,,,Infantry,,553016
,,,Radar and Sonar Technicians,,553017
,,,Special Forces,,553018
,,,Military Enlisted Tactical Operations and Air Weapons Specialists and Crew Members All Other,,553019
